编号,构图,光源数量,光源位置,光的质量,光的色彩,景别类型,景深范围,饱和度,亮度,色温,对比度,Prompt,en_prompt
T167,中心构图,单光源,顶光,硬光,白光,,,,,,,实验室工作台的中心构图，一盏明亮的顶灯作为单一光源投下硬质白光，精确照亮台上的仪器，形成强烈的视觉焦点。,"The centerpiece of the laboratory workbench is a bright overhead lamp serving as the sole light source, casting harsh white light that precisely illuminates the instruments on the table, creating a strong visual focal point."
T168,框架构图,多光源,底光,软光,彩色光,,,,,,,通过古老的石拱门（框架构图）观看节日庆典，多盏地面灯光向上投射柔和的彩色光，照亮欢庆的人群，营造神秘而欢快的氛围。,"Viewing the festival celebration through an ancient stone archway (with a frame composition), with multiple ground lights projecting soft colored light upward, illuminating the joyful crowd and creating a mysterious yet cheerful atmosphere."
T169,引导线构图,单光源,顺光,软光,暖光,,,,,,,一条延伸向远方的小路形成自然引导线，清晨的顺光柔和地洒在路面上，温暖的软光让整个场景充满宁静的田园诗意。,"A narrow path stretching into the distance forms a natural leading line. The gentle morning light falls softly upon it, bathing the entire scene in a warm, tranquil pastoral ambiance."
T170,非对称构图,多光源,侧光,硬光,冷光,,,,,,,现代艺术画廊的非对称布局，多个射灯从不同角度投下冷色调的硬质侧光，在艺术品上形成强烈的明暗对比。,"The modern art gallery's asymmetrical layout features multiple spotlights casting cool, hard-side lighting from various angles, creating strong contrasts of light and shadow on the artwork."
T171,对称构图,单光源,逆光,软光,暖光,,,,,,,樱花树下的对称构图，逆光的软质暖光透过花瓣，形成柔美的光晕效果，整个画面洋溢着春日的浪漫气息。,"The symmetrical composition under the cherry blossom tree, with soft warm light filtering through the petals against the backlight, creates a gentle halo effect, filling the entire scene with the romantic atmosphere of spring."
T172,三分法构图,多光源,顶光,硬光,白光,,,,,,,现代化厨房的三分法构图，多个嵌入式顶灯投下明亮的白光，硬质光线清晰地展现厨具的金属质感。,"The modern kitchen's tripartite composition features multiple recessed ceiling lights casting bright white light, with the harsh lighting clearly showcasing the metallic texture of the kitchenware."
T173,中心构图,单光源,底光,硬光,冷光,,,,,,,舞台中央的独舞者，从下方投来的单一冷光形成戏剧性的底光效果，硬质光线突出舞者的每一个动作轮廓。,"The solo dancer at the center of the stage is dramatically backlit by a single cold light from below, casting a hard light that accentuates every contour of the dancer's movements."
T174,框架构图,多光源,侧光,软光,暖光,,,,,,,从窗户（框架构图）望向室内书房，多盏台灯的侧光投射出柔和的暖光，营造出温馨的阅读氛围。,"Looking into the study room from the window (framed composition), multiple table lamps cast soft warm light from the side, creating a cozy reading atmosphere."
T175,,,,,,远景,深景深,低,中,冷,,雪山远景，深景深让前景的松树和远山都清晰可见，低饱和度的冷色调画面呈现出宁静的冬日景象。,"The distant view of the snow-capped mountains, with a deep depth of field that makes both the foreground pine trees and the faraway peaks clear, presents a serene winter scene in low-saturation cool tones."
T176,,,,,,全景,浅景深,高,亮,暖,,丰收麦田的全景，浅景深虚化背景，高饱和度的金黄色在明亮阳光下闪耀，暖色调让画面充满丰收的喜悦。,"A panoramic view of the bountiful wheat fields, with a shallow depth of field blurring the background, and the high saturation of golden yellow shining brightly in the sunlight, creating a warm tone that fills the scene with joy and the spirit of a bountiful harvest."
T177,,,,,,中景,深景深,中,中,,中,咖啡馆的中景画面，深景深展现整个环境的细节，中等的饱和度、亮度和对比度营造出舒适的生活气息。,"A medium shot of the café, with a deep depth of field showcasing the details of the entire environment. Moderate saturation, brightness, and contrast create a comfortable and cozy atmosphere."
T178,,,,,,近景,浅景深,低,暗,,高,人物面部的近景，浅景深虚化背景，低饱和度的暗调画面配合高对比度，营造出神秘的情感氛围。,"A close-up of a character's face with a shallow depth of field that blurs the background, combined with a low-saturation dark tone and high contrast, creates an atmosphere of mystery."
T179,,,,,,特写,深景深,高,亮,暖,,水果摊上苹果的特写，深景深展现每一个细节，高饱和度的红色在明亮光线下格外诱人，暖色调增强食欲感。,"A close-up of the apples at the fruit stand, with a deep depth of field showcasing every detail. The high saturation of red is especially alluring in bright light, and warm tones enhance the appeal to appetite."
T180,,,,,,远景,浅景深,中,暗,冷,,雾中山峦的远景，浅景深让远山朦胧，中饱和度的冷色调在暗光环境下营造出神秘的山水意境。,"The distant mountain ranges shrouded in mist, with a shallow depth of field creating a hazy effect on the far mountains. The medium saturation of cool tones in low light creates an enigmatic and mystical landscape atmosphere."
T181,引导线构图,多光源,逆光,硬光,彩色光,,,,,,,城市隧道的引导线构图，隧道顶部的多盏霓虹灯形成彩色逆光，硬质光线勾勒出车辆的轮廓，充满未来感。,"The composition of guide lines in urban tunnels, with multiple neon lights at the top creating colorful backlighting, outlines the contours of vehicles with hard light, exuding a sense of futurism."
T182,非对称构图,单光源,顺光,软光,白光,,,,,,,工作室的非对称布局，单一窗户的顺光柔和地照亮工作区，自然的白光为创作空间提供均匀照明。,"The studio's asymmetrical layout is gently illuminated by soft natural light from a single window, providing even illumination with its white light for the creative space."
T183,中心构图,多光源,顶光,软光,暖光,,,,,,,餐厅餐桌的中心构图，多个吊灯投下柔和的暖光顶光，营造出温馨的用餐氛围。,"The centerpiece of the restaurant's dining tables is adorned with multiple pendant lights casting soft, warm overhead lighting, creating a cozy dining atmosphere."
T184,框架构图,单光源,侧光,硬光,冷光,,,,,,,通过门框（框架构图）观看走廊，单一的侧光投下冷色调的硬质光线，形成强烈的空间纵深感。,"Looking through a doorway (framed composition), a single side light casts a cold, harsh beam, creating a strong sense of depth in the corridor."
T185,,,,,,全景,深景深,低,中,,低,清晨湖面的全景，深景深展现远近景色，低饱和度的柔和色调配合低对比度，营造出宁静的水墨画效果。,"A panoramic view of the lake at dawn, with a deep depth of field showcasing both near and distant scenery. The soft tones with low saturation and reduced contrast create a tranquil ink wash painting effect."
T186,,,,,,中景,浅景深,高,亮,,高,街头表演的中景，浅景深突出表演者，高饱和度的服装色彩在明亮光线下格外醒目，高对比度增强视觉冲击力。,"An intermediate close-up of the street performance, with a shallow depth of field highlighting the performer. The high saturation of their costume colors stands out particularly vividly in the bright light, and the high contrast enhances the visual impact."
T187,,,,,,近景,深景深,中,中,,中,手工艺人工作的近景，深景深展现工作台全貌，中等的色彩和明度关系真实记录创作过程。,"A close-up of the craftsman at work, with a deep depth of field showing the full workspace, and medium color and tonal relationships realistically capturing the creative process."
T188,,,,,,特写,浅景深,低,暗,,低,古老书籍的特写，浅景深虚化背景，低饱和度的暗调画面配合低对比度，营造出复古的文献感。,"A close-up of an ancient book with a shallow depth of field blurring the background, low saturation, and low contrast create a dark-toned atmosphere, evoking a sense of vintage literature."
T189,对称构图,多光源,顺光,软光,白光,,,,,,,博物馆展厅的对称构图，多个射灯提供均匀的顺光照明，柔和的白色光线完美展现展品细节。,"The symmetrical layout of the museum gallery, with multiple spotlights providing even front lighting, perfectly showcases the details of the exhibits with soft white light."
T190,三分法构图,单光源,逆光,硬光,暖光,,,,,,,沙漠日落的三分法构图，单一的夕阳逆光形成硬朗的驼队剪影，暖色调的光线染红整个天空。,"A desert sunset using the rule of thirds, with a single sun casting a hard silhouette of a camel caravan against the light, and warm tones coloring the entire sky red."
T191,,,,,,远景,深景深,高,亮,暖,,梯田的远景，深景深展现层层叠叠的景观，高饱和度的绿色在明亮阳光下生机勃勃，暖色调增强田园美感。,"The distant view of the terraced fields, with its deep depth of field showcasing layer upon layer of scenery, exudes vibrant life under the bright sunlight, and the warm tones enhance the pastoral beauty."
T192,,,,,,全景,浅景深,低,暗,冷,,雨夜街头的全景，浅景深虚化背景霓虹灯，低饱和度的冷色调在暗光下营造出忧郁的都市氛围。,"A panoramic view of the street on a rainy night, with a shallow depth of field blurring the neon lights in the background and a low saturation of cool tones creating a melancholic urban atmosphere in dim lighting."
T193,,,,,,中景,深景深,高,中,暖,,市场摊贩的中景，深景深展现热闹的环境，高饱和度的商品色彩在自然光下鲜艳夺目，暖色调增强生活气息。,"A medium shot of market vendors, with a deep depth of field showcasing the bustling environment. The highly saturated colors of the goods stand out vividly under natural light, and warm tones enhance the lively atmosphere."
T194,,,,,,近景,浅景深,中,亮,冷,,科技产品的近景，浅景深突出产品轮廓，中饱和度的金属质感在冷光照射下展现现代科技美感。,A close-up of a tech product with a shallow depth of field highlighting its contours. The medium-saturated metallic finish showcases modern technological aesthetics under cool lighting.
T195,框架构图,单光源,侧光,硬光,冷光,,,,,,,通过破损的窗框（框架构图）观看废墟内部，单一来源的侧光投下冷色调的硬质光线，在断壁上形成强烈的阴影对比。,"Looking through a broken window frame (a framed composition), the interior of the ruins is illuminated by a single source of sidelight, casting cold, hard light that creates strong shadow contrasts on the broken walls."
T196,三分法构图,多光源,顶光,软光,暖光,,,,,,,传统茶馆的三分法构图，多个纸质灯笼的顶光投下柔和的暖光，茶具的热气在光线中缓缓上升。,"The traditional tea house employs a rule of thirds composition, with multiple paper lanterns casting a soft warm light from above, and the steam from the teaware rising slowly in the beams of light."
T197,中心构图,单光源,逆光,软光,白光,,,,,,,实验室培养皿的中心构图，背面的单一光源透过玻璃发出柔和的白色逆光，清晰展现细胞结构。,"The central composition in a laboratory petri dish is clearly revealed with soft white backlight emanating from a single light source behind the glass, vividly showcasing the cellular structure."
T198,引导线构图,多光源,底光,硬光,彩色光,,,,,,,地铁隧道的引导线构图，轨道两侧的多彩底光向上投射硬质光线，形成科幻感的通道效果。,"The composition of the guiding lines in the subway tunnel, with multi-colored underlighting projecting hard light upwards on both sides of the tracks, creates a sci-fi effect for the passage."
T199,非对称构图,单光源,顺光,软光,暖光,,,,,,,艺术家工作室的非对称布局，窗户的顺光柔和温暖，照亮画架上未完成的作品。,"The artist's studio has an asymmetrical layout, with soft and warm sunlight streaming in through the windows, illuminating an unfinished piece on the easel."
T200,对称构图,多光源,侧光,硬光,白光,,,,,,,现代美术馆的对称空间，多个射灯从两侧投下硬质白光，精确照亮每件展品。,"In the symmetrical space of the modern art museum, multiple spotlights on both sides cast sharp white light, precisely illuminating each exhibit."
T201,,,,,,远景,深景深,低,暗,冷,,暴风雨来临前的海面远景，深景深展现天地交接，低饱和的冷色调在暗光中预示风暴将至。,"A distant view of the sea before a storm, with a deep depth of field showcasing where heaven meets earth. The low-saturated cool tones in the dim light foreshadow the approaching storm."
T202,,,,,,全景,浅景深,高,亮,暖,,春日花园的全景，浅景深虚化背景，高饱和的花朵在明亮阳光下绽放，暖色调充满生机。,"A panoramic view of the spring garden, with a shallow depth of field that blurs the background, showcasing highly saturated flowers blooming in bright sunlight, filled with warm tones and vitality."
T203,,,,,,中景,深景深,中,中,,高,老匠人中景工作画面，深景深展现作坊全貌，中等饱和度配合高对比度突出手艺细节。,"A medium shot of the veteran craftsman at work, with a deep depth of field to showcase the full appearance of the workshop, and medium saturation combined with high contrast to highlight the details of the craftsmanship."
T204,,,,,,近景,浅景深,低,中,,低,古籍书页的近景，浅景深虚化背景，低饱和的黄色纸张在中性光线下呈现柔和质感。,A close-up of an ancient text page with a shallow depth of field blurring the background. The low-saturated yellow paper appears soft under neutral lighting.
T205,,,,,,特写,深景深,高,亮,,高,珠宝首饰的特写，深景深展现每个切面，高饱和的宝石在强光下闪耀夺目。,A close-up of jewelry with a deep depth of field that showcases every facet. The high-saturated gems shine brilliantly under strong light.
T206,框架构图,多光源,逆光,软光,暖光,,,,,,,通过圆形拱门（框架构图）观看庭院，多个灯笼的逆光柔和温暖，勾勒出竹影婆娑。,"Viewing the courtyard through a circular arch (framed composition), multiple lanterns cast a soft and warm glow, outlining the swaying bamboo shadows."
T207,中心构图,单光源,顶光,硬光,冷光,,,,,,,手术台的中心构图，无影灯的硬质冷光从顶部直射，确保操作区域明亮清晰。,"The operating table is at the center, with harsh cold light from the overhead lamp shining directly down to ensure the operating area is bright and clear."
T208,三分法构图,多光源,侧光,软光,彩色光,,,,,,,酒吧台的三分法构图，多盏彩色侧灯投下柔和光线，营造迷离的夜间氛围。,"The bar counter is composed using the rule of thirds, with multiple colored side lights casting soft beams to create an enchanting night-time atmosphere."
T209,引导线构图,单光源,底光,硬光,白光,,,,,,,地下管道的引导线构图，单一的白光从底部向上照射，硬质光线凸显管道结构。,"The composition of the underground pipeline is highlighted by a single beam of white light shining up from below, accentuating the hard lines and structure of the pipe."
T210,非对称构图,多光源,顺光,硬光,暖光,,,,,,,现代厨房的非对称设计，多个射灯提供均匀的暖色顺光，硬质光线展现食材质感。,"The modern kitchen features an asymmetrical design, with multiple spotlights providing even warm ambient lighting and harsher light highlighting the textures of the food."
T211,,,,,,远景,浅景深,中,中,暖,,秋日山谷的远景，浅景深让远山朦胧，中饱和的暖色调展现季节变迁的温柔。,"The distant view of the valley in autumn, with a shallow depth of field making the distant mountains hazy, and warm tones of medium saturation showcase the gentle transition of the seasons."
T212,,,,,,全景,深景深,高,暗,冷,,极夜城市的全景，深景深展现建筑轮廓，高饱和的霓虹在暗夜中发出冷光。,"A panoramic view of the nocturnal city, with a deep depth of field highlighting the outlines of buildings, and highly saturated neon lights emitting a cold glow in the darkness."
T213,,,,,,中景,浅景深,低,亮,,中,舞蹈排练的中景，浅景深突出舞者，低饱和的练功服在明亮光线下优雅飘逸。,A medium shot of dance rehearsal with a shallow depth of field that highlights the dancers. The low-saturated practice costumes appear elegant and ethereal under bright lighting.
T214,,,,,,近景,深景深,中,暗,,高,古老钟表的近景，深景深展现机械结构，中饱和的色彩在暗光中依靠高对比度清晰呈现。,"A close-up of an antique clock, with a deep depth of field showcasing its mechanical structure, and moderately saturated colors vividly displayed in low light due to high contrast."
T215,,,,,,特写,浅景深,高,中,,低,新鲜水果的特写，浅景深虚化背景，高饱和的果实在柔和光线下呈现自然美感。,"A close-up of fresh fruit with a shallow depth of field that blurs the background, showcasing the high saturation of the fruit in soft lighting, revealing its natural beauty."
T216,对称构图,单光源,侧光,软光,彩色光,,,,,,,教堂彩窗的对称构图，阳光透过彩色玻璃投下柔和的侧光，在地面形成斑斓图案。,"The symmetrical composition of the church windows, with soft sidelights filtering through the colored glass, creates a kaleidoscope of patterns on the floor."
T217,三分法构图,多光源,逆光,硬光,冷光,,,,,,,城市天际线的三分法构图，多个建筑的逆光形成硬朗剪影，冷色调凸显现代感。,"A third-level composition of the city skyline, with multiple buildings backlit to create bold silhouettes, and cool tones highlighting a modern feel."
T218,中心构图,多光源,顶光,软光,暖光,,,,,,,宴会餐桌的中心构图，多个水晶吊灯投下柔和的暖光顶光，营造奢华氛围。,"The centerpiece of the banquet table is illuminated by multiple crystal chandeliers hanging above, casting soft warm light and creating a luxurious atmosphere."
T219,框架构图,单光源,顺光,硬光,白光,,,,,,,通过门缝（框架构图）观看房间，单一的白光顺光硬质照射，形成强烈的明暗分界。,"Looking through a door crack (framed composition), a single white light shines directly in, creating strong contrasts between light and shadow."
T220,引导线构图,多光源,侧光,软光,暖光,,,,,,,图书馆书架的引导线构图，多盏壁灯的侧光柔和温暖，营造安静的阅读空间。,"The guide lines of the library bookshelves, along with the soft and warm side lighting from multiple wall lamps, create a quiet reading space."
