编号,各组合维度,Prompt,en_prompt
179,构图 + 色彩 + 景深 + 表情 + 化妆,纯色背景前，构图聚焦于模特的面部，其创意彩妆使用了大胆的互补色，通过焦点切换引导视线，模特的眼神与妆容风格紧密配合，形成强烈的时尚艺术表达。,"Against a solid color background, the composition focuses on the model's face, where creative makeup in bold complementary colors draws the viewer's gaze. The model's eyes harmonize with the makeup style, creating a strong expression of fashion art."
180,整体 + 光照 + 影调 + 色彩 + 化妆,一个概念美妆艺术视频，整体构思前卫，利用彩色凝胶灯制造强烈的单色光效，模特妆容设计与之呼应，在脸上形成光绘般的效果，视觉风格极其统一和突出。,"A conceptual beauty art video with avant-garde overall conception uses colored gel lights to create intense monochromatic lighting effects. The makeup design for the model complements this, creating light-painting-like effects on her face, resulting in a visually cohesive and striking style."
181,构图 + 景别 + 影调 + 表情 + 服装,西部片中的决斗时刻，构图将两位枪手置于画面两侧形成对峙，广角景别凸显环境的荒凉，他们紧绷的表情与标志性的牛仔服装在低照度下充满张力。,"In Western films, the moment of confrontation features the two gunmen positioned at opposite sides of the frame, with a wide-angle shot emphasizing the desolate environment. Their tense expressions and iconic cowboy attire add tension in the dim lighting."
182,整体 + 景别 + 光照 + 景深 + 化妆,一个专业美妆教程的特写部分，整体画质清晰细腻，景别始终聚焦面部，在均匀无影灯照射下，通过微距浅景深展示眼影的色彩过渡和粉质，技术性展示到位。,"The close-up section of a professional makeup tutorial has clear and delicate video quality, with the focus always on the face. Under uniform lighting, it uses macro shots with shallow depth of field to showcase the color transitions and texture of eyeshadow, providing a technically detailed demonstration."
183,光照 + 影调 + 色彩 + 表情 + 整体,一个爱情电影的表白场景，整体氛围浪漫唯美，金色的逆光为场景镀上暖色调，男女主角在柔和的影调中流露出的真挚表情，情感表达达到高潮。,"A romantic and beautiful scene from a love movie features a golden backlight that casts a warm glow over the setting. The male and female leads express their genuine emotions in soft lighting, bringing the scene's emotional intensity to a climax."
184,构图 + 光照 + 景深 + 服装 + 化妆,对称构图下，一位未来女战士的正面半身像，冷色调光源清晰勾勒其装甲制服的线条与面部生化纹身，浅景深使主体突出，科技感与力量感十足。,"A frontal half-portrait of a female warrior from the future is symmetrically composed. Cold-toned lighting clearly outlines the contours of her armored uniform and facial bio-tattoos. The shallow depth of field highlights the subject, exuding a strong sense of both technology and power."
185,整体 + 构图 + 景别 + 色彩 + 服装,一个展现民族节日的纪录片片段，整体色彩饱和、充满活力，构图巧妙捕捉盛装的人群流动，景别在欢庆的全景与个体服装细节的特写间切换，文化气息浓厚。,"A documentary clip showcasing a national festival, with rich and vibrant colors, skillfully captures the flow of elaborately dressed crowds through clever composition. The shot alternates between panoramic views of the celebrations and close-ups of individual costume details, exuding a strong cultural atmosphere."
186,影调 + 色彩 + 景深 + 表情 + 服装,采用棕褐色调模仿老照片效果，浅景深聚焦于一位穿着民国学生装的少女在车站回眸的瞬间，其清澈的眼神和略带哀愁的表情充满了时代故事感。,"Using sepia tones to mimic the effect of old photographs, with a shallow depth of field focusing on a moment when a young woman in Republican-era school attire glances back at the camera at a station. Her clear eyes and slightly melancholic expression are filled with a sense of the era's narrative."
187,构图 + 景别 + 光照 + 表情 + 整体,一个音乐视频的副歌部分，整体节奏与情感饱满，构图动态富有创意，景别随音乐节奏在歌手全身表演与充满感染力的面部表情特写间切换，舞台灯光强化了表演张力。,"The chorus of a music video has a full rhythm and emotional intensity. The composition is dynamic and creatively shot, with shots alternating between the singer's full-body performance and close-ups of their expressive face, following the beat of the music. The stage lighting enhances the performance's dynamism."
188,光照 + 色彩 + 景深 + 服装 + 整体,一幅“画中画”效果的视频，整体构思巧妙，仿佛透过一个旧相框观看，内部是阳光明媚、色彩柔和的田园风光，一位身着复古裙装的少女在奔跑，光线温暖。,"A video with a ""picture-in-picture"" effect, cleverly conceived, as if viewed through an old photo frame. Inside, there's a sunny and gentle pastoral scene where a young girl in a vintage dress is running, bathed in warm light."
189,构图 + 影调 + 色彩 + 表情 + 化妆,背景是抽象色块壁画，构图将画中人物与真实模特的脸并置，模特的表情与妆容模仿画作风格，整体影调统一，形成超现实的视觉对话。,"Set against a backdrop of abstract color block murals, the composition juxtaposes figures within the painting with the face of a live model. The model's expression and makeup imitate the style of the painting, creating a unified tone overall and forming a surreal visual dialogue."
190,整体 + 景别 + 影调 + 景深 + 表情,一个心理惊悚片的片段，整体氛围压抑紧张，景别多为令人不安的特写，低调影像与时而模糊时而清晰的景深变化，共同烘托出主角惊恐、疑虑的表情，心理压迫感强。,"A segment from a psychological thriller with an overall oppressive and tense atmosphere, featuring many unsettling close-ups. The low-key lighting and the depth of field that alternates between blurry and clear enhance the protagonist's frightened and suspicious expression, creating a strong sense of psychological pressure."
191,构图 + 光照 + 色彩 + 景深 + 服装,熙攘的亚洲夜市，构图利用灯笼和摊位形成丰富的层次，暖色调光线照亮各种小吃和商品，浅景深聚焦于一位穿着传统服饰的游客好奇的表情，烟火气十足。,"The bustling Asian night market, with its composition utilizing lanterns and stalls to create rich layers, is illuminated by warm-toned lighting that highlights various snacks and goods. A shallow depth of field focuses on the curious expression of a visitor wearing traditional attire, exuding a lively atmosphere."
192,整体 + 光照 + 影调 + 服装 + 化妆,一场古典话剧的舞台表演，整体上展现了深厚的舞台功力，追光灯牢牢跟随着主角，其精致的古装与舞台妆在灯光下非常醒目，周围环境隐于黑暗以突出表演。,"The stage performance of a classical drama showcased a profound mastery of the craft, with spotlights tightly following the lead actor. The intricate ancient costume and makeup stood out vividly under the lights, while the surrounding environment was shrouded in darkness to highlight the performance."
193,景别 + 光照 + 色彩 + 景深 + 表情,从洒满夕阳的教室窗户全景，拉回到一个学生伏案写作的侧脸特写，柔和的侧光勾勒其轮廓，浅景深虚化背景突出其专注的表情，充满青春文艺气息。,"From a panoramic view of the classroom window bathed in sunset light, the scene zooms in to a close-up of a student's profile as they write at their desk. Soft sidelight outlines their features, and a shallow depth of field blurs the background, highlighting their focused expression, exuding a youthful and artistic atmosphere."
194,构图 + 影调 + 景深 + 表情 + 服装,利用图书馆书架形成的纵深构图，影调深沉安静，浅景深引导视线至一位身着针织衫的读者，她读到有趣处时露出的会心微笑，画面宁静而温暖。,"Using the depth created by the library bookshelves, the tone is dark and tranquil, with a shallow depth of field guiding the viewer's gaze to a reader wearing a knitted sweater. Her contented smile as she reads something amusing adds warmth to the otherwise serene scene."
195,整体 + 构图 + 色彩 + 景深 + 化妆,一个艺术彩妆创作过程的延时视频，整体像一幅流动的画，构图中心是模特的脸，色彩大胆混合变幻，通过景深控制全程清晰展示妆容的每一步，创意十足。,"A time-lapse video of an artistic makeup creation process, where the entire scene flows like a moving painting. The composition centers on the model's face, with bold colors blending and transforming dynamically. Throughout the video, depth of field control ensures that every step of the makeup application is clearly visible, showcasing a highly creative approach."
196,光照 + 影调 + 色彩 + 景深 + 整体,水族馆中的梦幻场景，整体视觉效果空灵，光线透过水体形成蓝色调，影调柔和，利用景深虚实交替展现游动的鱼群和水母，色彩斑斓和谐。,"The aquarium features an ethereal scene with an overall visual effect that is otherworldly. The light filtering through the water creates a blue hue, and the tones are soft. Using depth of field, the scene alternates between sharpness and blur to showcase schools of fish and jellyfish, creating a harmonious and colorful display."
197,构图 + 景别 + 光照 + 服装 + 化妆,摄影棚肖像，构图采用经典的三角构图，景别为腰部以上中景，柔光完美展现模特身上丝绸礼服的光泽与其妆容的细腻质感，画面优雅高级。,"A studio portrait with a classic triangular composition, featuring a medium shot from the waist up, showcases the silk gown's luster and the fineness of the model's makeup under soft lighting, creating an elegant and sophisticated image."
198,整体 + 景别 + 色彩 + 表情 + 服装,一个儿童动画电影的真实版预告，整体充满童趣和活力，景别活泼，色彩明亮鲜艳，小演员们穿着卡通风格服装，脸上洋溢着惊奇和快乐的表情，天真烂漫。,"A real-life trailer for a children's animated movie, brimming with childlike charm and vitality, features lively camera angles and bright, vivid colors. The young actors are dressed in cartoon-style costumes and their faces are filled with expressions of wonder and joy, embodying innocence and playfulness."
199,构图 + 光照 + 影调 + 色彩 + 景深,深秋的湖边，构图利用倒影形成对称，晨雾弥漫，阳光穿透雾气形成柔和的光线，树叶的金黄色与湖水的冷色形成对比，景深使远近树木层次分明，意境悠远。,"By the lakeside in late autumn, the composition uses reflections to create symmetry. Morning mist shrouds the area, and sunlight piercing through the fog forms soft beams. The golden yellow of the leaves contrasts with the cool tones of the lake water, while depth of field makes the layers of distant and near trees distinct, creating a distant and serene ambiance."
200,整体 + 构图 + 景别 + 光照 + 表情,一个获奖纪录片的人物访谈核心镜头，整体真实感人，构图稳定，景别多为人物正面特写，柔和的面光使得受访者每一个细微的表情都极具说服力和感染力，直击人心。,"The core interview footage from an award-winning documentary is heartwarming and genuinely touching. The composition is stable, with most shots being close-ups of the subject's face. Soft frontal lighting enhances every subtle expression of the interviewee, making them incredibly convincing and emotionally compelling, striking straight to the heart."
