prompt,q1,q2,q3,q4,q5,q6,o1,o2,o3,o4,o5,o6
A person reaching out.,动作是否和文本一致？,动作是否真实合理？,视频中人的生成质量如何？,,,,"-1：提示文本没有描述动作，表示此问题作废,1：完全不一致,2：目标动作未完成,3：完全一致（描述周期性动作时应当整个视频都一致，一次性动作应当完成）","-1：视频没有出现动作词或对动作的描述,1：完全不合理，现实中无法实现,2：符合逻辑，但不够真实,3：真实合理","-1：视频中没有出现人,1：质量非常差，勉强有人形,2：质量差，肢体扭曲,3：质量一般，有一些形变,4：质量好，仅有一些微小的不易察觉的异常,5：质量非常好，没有异常",,,
A person rowing a boat.,动作是否和文本一致？,动作是否真实合理？,视频中人的生成质量如何？,,,,"-1：提示文本没有描述动作，表示此问题作废,1：完全不一致,2：目标动作未完成,3：完全一致（描述周期性动作时应当整个视频都一致，一次性动作应当完成）","-1：视频没有出现动作词或对动作的描述,1：完全不合理，现实中无法实现,2：符合逻辑，但不够真实,3：真实合理","-1：视频中没有出现人,1：质量非常差，勉强有人形,2：质量差，肢体扭曲,3：质量一般，有一些形变,4：质量好，仅有一些微小的不易察觉的异常,5：质量非常好，没有异常",,,
Lakeside,场景是否和文本一致？,场景是否真实,,,,,"-1：提示文本没有提到场景，表示此问题作废,1：完全不一致,2：整个视频不完全是该场景或者是混合了其他场景,3：完全一致","-1：视频没有生成场景（纯色背景或者模糊无法识别的场景）或文本指示了非真实的场景,1：完全不真实,2：不够真实，能察觉到一些异常,3：非常真实，找不到异常",,,,
A kite rises and flutters in the wind by the seaside.,实体运动过程中是否自然不异常扭曲？,,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,,,
"The drone flew through the ancient temple with stable spatial structure, smooth movements, sharp images, no flicker, and even exposure.",静止的视频内容是否不因镜头移动产生异常扭曲？,实体运动过程中是否自然不异常扭曲？,视频是否清晰？,静止的视频内容是否稳定不随时间变动？,视频是否存在异常光照，即曝光、异常高光或光线不规律变化,,"-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常","-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。","-1：文本描述了视频的清晰度,1：视频极度模糊，几乎无法识别图像内容，完全不可用。,2：即使在正常观看距离下也能看到明显的模糊，尤其在动态场景转换时更为明显。,3：视频非常清晰，仅能在细节丰富区域（如头发或边缘）发现轻微的不清晰现象","-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化","1：光线问题极其严重，使得整个画面显得失真，几乎无法辨识内容，完全破坏观看体验,2：明显的光线问题，如过曝、高光位置异常，开始影响观看体验,3：完全没有或仅有非常微小的曝光差异或高光过亮，需要仔细对比才能发现",
Study room,场景是否和文本一致？,场景是否真实,,,,,"-1：提示文本没有提到场景，表示此问题作废,1：完全不一致,2：整个视频不完全是该场景或者是混合了其他场景,3：完全一致","-1：视频没有生成场景（纯色背景或者模糊无法识别的场景）或文本指示了非真实的场景,1：完全不真实,2：不够真实，能察觉到一些异常,3：非常真实，找不到异常",,,,
The red ball is on the left side of the frame.,物体是否和文本一致,物体是否真实,物体位置是否和文本一致？,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷","-1：视频没有出现相关物体,1：完全不一致,2：相对一致（比如上方却不是正上方，或者整个视频不是都保持一致）,3：完全一致",,,
A train moves at a steady speed across the bridge.,实体运动过程中是否自然不异常扭曲？,,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,,,
Storage room,场景是否和文本一致？,场景是否真实,,,,,"-1：提示文本没有提到场景，表示此问题作废,1：完全不一致,2：整个视频不完全是该场景或者是混合了其他场景,3：完全一致","-1：视频没有生成场景（纯色背景或者模糊无法识别的场景）或文本指示了非真实的场景,1：完全不真实,2：不够真实，能察觉到一些异常,3：非常真实，找不到异常",,,,
"A man types at his office desk, with a slight frown, wearing a white shirt and black blazer, body leaning toward the computer screen.",视频中人的生成质量如何？,,,,,,"-1：视频中没有出现人,1：质量非常差，勉强有人形,2：质量差，肢体扭曲,3：质量一般，有一些形变,4：质量好，仅有一些微小的不易察觉的异常,5：质量非常好，没有异常",,,,,
The red ball is in the top right corner of the frame.,物体是否和文本一致,物体是否真实,物体位置是否和文本一致？,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷","-1：视频没有出现相关物体,1：完全不一致,2：相对一致（比如上方却不是正上方，或者整个视频不是都保持一致）,3：完全一致",,,
A person drinking water.,动作是否和文本一致？,动作是否真实合理？,视频中人的生成质量如何？,,,,"-1：提示文本没有描述动作，表示此问题作废,1：完全不一致,2：目标动作未完成,3：完全一致（描述周期性动作时应当整个视频都一致，一次性动作应当完成）","-1：视频没有出现动作词或对动作的描述,1：完全不合理，现实中无法实现,2：符合逻辑，但不够真实,3：真实合理","-1：视频中没有出现人,1：质量非常差，勉强有人形,2：质量差，肢体扭曲,3：质量一般，有一些形变,4：质量好，仅有一些微小的不易察觉的异常,5：质量非常好，没有异常",,,
Living room,场景是否和文本一致？,场景是否真实,,,,,"-1：提示文本没有提到场景，表示此问题作废,1：完全不一致,2：整个视频不完全是该场景或者是混合了其他场景,3：完全一致","-1：视频没有生成场景（纯色背景或者模糊无法识别的场景）或文本指示了非真实的场景,1：完全不真实,2：不够真实，能察觉到一些异常,3：非常真实，找不到异常",,,,
"A student reaches for a book beside the library shelf, with a serious facial expression, wearing a dark blue school uniform dress, body slightly tilted to the left.",视频中人的生成质量如何？,,,,,,"-1：视频中没有出现人,1：质量非常差，勉强有人形,2：质量差，肢体扭曲,3：质量一般，有一些形变,4：质量好，仅有一些微小的不易察觉的异常,5：质量非常好，没有异常",,,,,
A person eating.,动作是否和文本一致？,动作是否真实合理？,视频中人的生成质量如何？,,,,"-1：提示文本没有描述动作，表示此问题作废,1：完全不一致,2：目标动作未完成,3：完全一致（描述周期性动作时应当整个视频都一致，一次性动作应当完成）","-1：视频没有出现动作词或对动作的描述,1：完全不合理，现实中无法实现,2：符合逻辑，但不够真实,3：真实合理","-1：视频中没有出现人,1：质量非常差，勉强有人形,2：质量差，肢体扭曲,3：质量一般，有一些形变,4：质量好，仅有一些微小的不易察觉的异常,5：质量非常好，没有异常",,,
The red ball is directly below the blue cube.,物体是否和文本一致,物体是否真实,物体位置是否和文本一致？,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷","-1：视频没有出现相关物体,1：完全不一致,2：相对一致（比如上方却不是正上方，或者整个视频不是都保持一致）,3：完全一致",,,
"A young man stands on seaside rocks gazing into the distance, his face lit by sunlight, wearing a white T-shirt and shorts, with a relaxed stance and hands in pockets.",视频中人的生成质量如何？,,,,,,"-1：视频中没有出现人,1：质量非常差，勉强有人形,2：质量差，肢体扭曲,3：质量一般，有一些形变,4：质量好，仅有一些微小的不易察觉的异常,5：质量非常好，没有异常",,,,,
The red ball is in the bottom left corner of the frame.,物体是否和文本一致,物体是否真实,物体位置是否和文本一致？,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷","-1：视频没有出现相关物体,1：完全不一致,2：相对一致（比如上方却不是正上方，或者整个视频不是都保持一致）,3：完全一致",,,
Laundry room,场景是否和文本一致？,场景是否真实,,,,,"-1：提示文本没有提到场景，表示此问题作废,1：完全不一致,2：整个视频不完全是该场景或者是混合了其他场景,3：完全一致","-1：视频没有生成场景（纯色背景或者模糊无法识别的场景）或文本指示了非真实的场景,1：完全不真实,2：不够真实，能察觉到一些异常,3：非常真实，找不到异常",,,,
Morning sunlight casting striped shadows through curtains,视频光影是否真实合理？,,,,,,"-1：没有明显光影,1：不真实,2：仔细分析能看出异常,3：真实合理",,,,,
"A man lifts dumbbells in the gym, face tense with effort, wearing a sleeveless sports top and shorts, body in a stable standing posture.",视频中人的生成质量如何？,,,,,,"-1：视频中没有出现人,1：质量非常差，勉强有人形,2：质量差，肢体扭曲,3：质量一般，有一些形变,4：质量好，仅有一些微小的不易察觉的异常,5：质量非常好，没有异常",,,,,
Sunlight through tree leaves creating dappled patterns on the ground,视频光影是否真实合理？,,,,,,"-1：没有明显光影,1：不真实,2：仔细分析能看出异常,3：真实合理",,,,,
A person catching a ball.,动作是否和文本一致？,动作是否真实合理？,视频中人的生成质量如何？,,,,"-1：提示文本没有描述动作，表示此问题作废,1：完全不一致,2：目标动作未完成,3：完全一致（描述周期性动作时应当整个视频都一致，一次性动作应当完成）","-1：视频没有出现动作词或对动作的描述,1：完全不合理，现实中无法实现,2：符合逻辑，但不够真实,3：真实合理","-1：视频中没有出现人,1：质量非常差，勉强有人形,2：质量差，肢体扭曲,3：质量一般，有一些形变,4：质量好，仅有一些微小的不易察觉的异常,5：质量非常好，没有异常",,,
A person waving.,动作是否和文本一致？,动作是否真实合理？,视频中人的生成质量如何？,,,,"-1：提示文本没有描述动作，表示此问题作废,1：完全不一致,2：目标动作未完成,3：完全一致（描述周期性动作时应当整个视频都一致，一次性动作应当完成）","-1：视频没有出现动作词或对动作的描述,1：完全不合理，现实中无法实现,2：符合逻辑，但不够真实,3：真实合理","-1：视频中没有出现人,1：质量非常差，勉强有人形,2：质量差，肢体扭曲,3：质量一般，有一些形变,4：质量好，仅有一些微小的不易察觉的异常,5：质量非常好，没有异常",,,
A person speaking with mouth open.,动作是否和文本一致？,动作是否真实合理？,视频中人的生成质量如何？,,,,"-1：提示文本没有描述动作，表示此问题作废,1：完全不一致,2：目标动作未完成,3：完全一致（描述周期性动作时应当整个视频都一致，一次性动作应当完成）","-1：视频没有出现动作词或对动作的描述,1：完全不合理，现实中无法实现,2：符合逻辑，但不够真实,3：真实合理","-1：视频中没有出现人,1：质量非常差，勉强有人形,2：质量差，肢体扭曲,3：质量一般，有一些形变,4：质量好，仅有一些微小的不易察觉的异常,5：质量非常好，没有异常",,,
Mountaintop,场景是否和文本一致？,场景是否真实,,,,,"-1：提示文本没有提到场景，表示此问题作废,1：完全不一致,2：整个视频不完全是该场景或者是混合了其他场景,3：完全一致","-1：视频没有生成场景（纯色背景或者模糊无法识别的场景）或文本指示了非真实的场景,1：完全不真实,2：不够真实，能察觉到一些异常,3：非常真实，找不到异常",,,,
"In the concert hall, fast motion shot of stage lights changing with a truck right.",场景是否和文本一致？,场景是否真实,视频速度是否与文本一致？,镜头移动是否和文本一致？,,,"-1：提示文本没有提到场景，表示此问题作废,1：完全不一致,2：整个视频不完全是该场景或者是混合了其他场景,3：完全一致","-1：视频没有生成场景（纯色背景或者模糊无法识别的场景）或文本指示了非真实的场景,1：完全不真实,2：不够真实，能察觉到一些异常,3：非常真实，找不到异常","-1：文本没有提及视频速度,1：不一致,2：一致","-1：文本没有描述镜头,1：不一致,2：一致",,
"A woman holds a warm cup of tea beside a haystack in the early morning, appearing at the top right of the frame, misty weather, normal speed, push-in camera shot.",视频内容整体是否真实？,视频内容整体是否和文本一致？,,,,,"1：完全不真实,2：极少部分真实,3：部分内容真实,4：大部分内容真实,5：完全真实","1：完全无关,2：极少数内容与文本一致,3：一半内容与文本一致,4：大部分内容与文本一致,5：完全一致",,,,
Clouds covering the sun making shadows fade,视频光影是否真实合理？,,,,,,"-1：没有明显光影,1：不真实,2：仔细分析能看出异常,3：真实合理",,,,,
Meadow,场景是否和文本一致？,场景是否真实,,,,,"-1：提示文本没有提到场景，表示此问题作废,1：完全不一致,2：整个视频不完全是该场景或者是混合了其他场景,3：完全一致","-1：视频没有生成场景（纯色背景或者模糊无法识别的场景）或文本指示了非真实的场景,1：完全不真实,2：不够真实，能察觉到一些异常,3：非常真实，找不到异常",,,,
"A nurse adjusts a patient’s pillow in the hospital ward, with a gentle smiling face, wearing a light blue nurse’s uniform, body leaning closer to the bed.",视频中人的生成质量如何？,,,,,,"-1：视频中没有出现人,1：质量非常差，勉强有人形,2：质量差，肢体扭曲,3：质量一般，有一些形变,4：质量好，仅有一些微小的不易察觉的异常,5：质量非常好，没有异常",,,,,
Forest,场景是否和文本一致？,场景是否真实,,,,,"-1：提示文本没有提到场景，表示此问题作废,1：完全不一致,2：整个视频不完全是该场景或者是混合了其他场景,3：完全一致","-1：视频没有生成场景（纯色背景或者模糊无法识别的场景）或文本指示了非真实的场景,1：完全不真实,2：不够真实，能察觉到一些异常,3：非常真实，找不到异常",,,,
The red ball is on the blue cube.,物体是否和文本一致,物体是否真实,物体位置是否和文本一致？,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷","-1：视频没有出现相关物体,1：完全不一致,2：相对一致（比如上方却不是正上方，或者整个视频不是都保持一致）,3：完全一致",,,
"A woman reaches out to clink glasses with a friend at a restaurant table, smiling, wearing a white shirt and light-colored skirt, body slightly leaning to the right.",视频中人的生成质量如何？,,,,,,"-1：视频中没有出现人,1：质量非常差，勉强有人形,2：质量差，肢体扭曲,3：质量一般，有一些形变,4：质量好，仅有一些微小的不易察觉的异常,5：质量非常好，没有异常",,,,,
A child kicks a soccer ball forward on the park lawn.,实体运动过程中是否自然不异常扭曲？,,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,,,
Desert,场景是否和文本一致？,场景是否真实,,,,,"-1：提示文本没有提到场景，表示此问题作废,1：完全不一致,2：整个视频不完全是该场景或者是混合了其他场景,3：完全一致","-1：视频没有生成场景（纯色背景或者模糊无法识别的场景）或文本指示了非真实的场景,1：完全不真实,2：不够真实，能察觉到一些异常,3：非常真实，找不到异常",,,,
Rainbow appearing as sunlight hits raindrops,视频光影是否真实合理？,,,,,,"-1：没有明显光影,1：不真实,2：仔细分析能看出异常,3：真实合理",,,,,
A bus drives forward on the city street.,实体运动过程中是否自然不异常扭曲？,,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,,,
A small boat drifts slowly with the river current.,实体运动过程中是否自然不异常扭曲？,,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,,,
Chandelier light shining on the dining table,视频光影是否真实合理？,,,,,,"-1：没有明显光影,1：不真实,2：仔细分析能看出异常,3：真实合理",,,,,
Clouds dispersing and sunlight shining through again,视频光影是否真实合理？,,,,,,"-1：没有明显光影,1：不真实,2：仔细分析能看出异常,3：真实合理",,,,,
The red ball is to the left of the blue cube.,物体是否和文本一致,物体是否真实,物体位置是否和文本一致？,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷","-1：视频没有出现相关物体,1：完全不一致,2：相对一致（比如上方却不是正上方，或者整个视频不是都保持一致）,3：完全一致",,,
"A woman dances street style beside a fountain at night, near the right side of the frame, clear sky, normal speed, circular camera movement.",视频内容整体是否真实？,视频内容整体是否和文本一致？,,,,,"1：完全不真实,2：极少部分真实,3：部分内容真实,4：大部分内容真实,5：完全真实","1：完全无关,2：极少数内容与文本一致,3：一半内容与文本一致,4：大部分内容与文本一致,5：完全一致",,,,
The red ball is behind the blue cube.,物体是否和文本一致,物体是否真实,物体位置是否和文本一致？,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷","-1：视频没有出现相关物体,1：完全不一致,2：相对一致（比如上方却不是正上方，或者整个视频不是都保持一致）,3：完全一致",,,
Bedroom,场景是否和文本一致？,场景是否真实,,,,,"-1：提示文本没有提到场景，表示此问题作废,1：完全不一致,2：整个视频不完全是该场景或者是混合了其他场景,3：完全一致","-1：视频没有生成场景（纯色背景或者模糊无法识别的场景）或文本指示了非真实的场景,1：完全不真实,2：不够真实，能察觉到一些异常,3：非常真实，找不到异常",,,,
"In the lazy afternoon, a couple walks in the plaza.",场景是否和文本一致？,场景是否真实,文本中提到的时间段表现是否真实合理？,,,,"-1：提示文本没有提到场景，表示此问题作废,1：完全不一致,2：整个视频不完全是该场景或者是混合了其他场景,3：完全一致","-1：视频没有生成场景（纯色背景或者模糊无法识别的场景）或文本指示了非真实的场景,1：完全不真实,2：不够真实，能察觉到一些异常,3：非常真实，找不到异常","-1：没有出现文本中提到的时间段,1：完全不真实,2：比较真实，但有瑕疵,3：非常真实",,,
Mirror reflecting sunlight onto the ceiling,视频光影是否真实合理？,,,,,,"-1：没有明显光影,1：不真实,2：仔细分析能看出异常,3：真实合理",,,,,
The red ball is in front of the blue cube.,物体是否和文本一致,物体是否真实,物体位置是否和文本一致？,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷","-1：视频没有出现相关物体,1：完全不一致,2：相对一致（比如上方却不是正上方，或者整个视频不是都保持一致）,3：完全一致",,,
The red ball is to the right of the blue cube.,物体是否和文本一致,物体是否真实,物体位置是否和文本一致？,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷","-1：视频没有出现相关物体,1：完全不一致,2：相对一致（比如上方却不是正上方，或者整个视频不是都保持一致）,3：完全一致",,,
A crane slowly lifts a steel beam at the construction site.,实体运动过程中是否自然不异常扭曲？,,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,,,
The red ball is at the front left of the blue cube.,物体是否和文本一致,物体是否真实,物体位置是否和文本一致？,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷","-1：视频没有出现相关物体,1：完全不一致,2：相对一致（比如上方却不是正上方，或者整个视频不是都保持一致）,3：完全一致",,,
Kitchen,场景是否和文本一致？,场景是否真实,,,,,"-1：提示文本没有提到场景，表示此问题作废,1：完全不一致,2：整个视频不完全是该场景或者是混合了其他场景,3：完全一致","-1：视频没有生成场景（纯色背景或者模糊无法识别的场景）或文本指示了非真实的场景,1：完全不真实,2：不够真实，能察觉到一些异常,3：非常真实，找不到异常",,,,
A dancer spins on the stage.,实体运动过程中是否自然不异常扭曲？,,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,,,
The red ball is on the right side of the frame.,物体是否和文本一致,物体是否真实,物体位置是否和文本一致？,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷","-1：视频没有出现相关物体,1：完全不一致,2：相对一致（比如上方却不是正上方，或者整个视频不是都保持一致）,3：完全一致",,,
Farm,场景是否和文本一致？,场景是否真实,,,,,"-1：提示文本没有提到场景，表示此问题作废,1：完全不一致,2：整个视频不完全是该场景或者是混合了其他场景,3：完全一致","-1：视频没有生成场景（纯色背景或者模糊无法识别的场景）或文本指示了非真实的场景,1：完全不真实,2：不够真实，能察觉到一些异常,3：非常真实，找不到异常",,,,
"A woman plants rice seedlings in a paddy field in the early morning, positioned at the top right of the frame, misty weather, slow motion, tracking shot.",视频内容整体是否真实？,视频内容整体是否和文本一致？,,,,,"1：完全不真实,2：极少部分真实,3：部分内容真实,4：大部分内容真实,5：完全真实","1：完全无关,2：极少数内容与文本一致,3：一半内容与文本一致,4：大部分内容与文本一致,5：完全一致",,,,
Water flows continuously from the faucet in the kitchen.,实体运动过程中是否自然不异常扭曲？,,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,,,
The red ball is at the back left of the blue cube.,物体是否和文本一致,物体是否真实,物体位置是否和文本一致？,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷","-1：视频没有出现相关物体,1：完全不一致,2：相对一致（比如上方却不是正上方，或者整个视频不是都保持一致）,3：完全一致",,,
The red ball is at the bottom of the frame.,物体是否和文本一致,物体是否真实,物体位置是否和文本一致？,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷","-1：视频没有出现相关物体,1：完全不一致,2：相对一致（比如上方却不是正上方，或者整个视频不是都保持一致）,3：完全一致",,,
Home balcony,场景是否和文本一致？,场景是否真实,,,,,"-1：提示文本没有提到场景，表示此问题作废,1：完全不一致,2：整个视频不完全是该场景或者是混合了其他场景,3：完全一致","-1：视频没有生成场景（纯色背景或者模糊无法识别的场景）或文本指示了非真实的场景,1：完全不真实,2：不够真实，能察觉到一些异常,3：非常真实，找不到异常",,,,
"A man kicks a blue soccer ball in the city square in the afternoon, positioned at the bottom left of the frame, breezy weather, normal speed, tracking shot.",视频内容整体是否真实？,视频内容整体是否和文本一致？,,,,,"1：完全不真实,2：极少部分真实,3：部分内容真实,4：大部分内容真实,5：完全真实","1：完全无关,2：极少数内容与文本一致,3：一半内容与文本一致,4：大部分内容与文本一致,5：完全一致",,,,
Neon lights reflecting colors on a wet road,视频光影是否真实合理？,,,,,,"-1：没有明显光影,1：不真实,2：仔细分析能看出异常,3：真实合理",,,,,
Clock shadow swinging with its movement,视频光影是否真实合理？,,,,,,"-1：没有明显光影,1：不真实,2：仔细分析能看出异常,3：真实合理",,,,,
The red ball is at the back right of the blue cube.,物体是否和文本一致,物体是否真实,物体位置是否和文本一致？,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷","-1：视频没有出现相关物体,1：完全不一致,2：相对一致（比如上方却不是正上方，或者整个视频不是都保持一致）,3：完全一致",,,
Basement,场景是否和文本一致？,场景是否真实,,,,,"-1：提示文本没有提到场景，表示此问题作废,1：完全不一致,2：整个视频不完全是该场景或者是混合了其他场景,3：完全一致","-1：视频没有生成场景（纯色背景或者模糊无法识别的场景）或文本指示了非真实的场景,1：完全不真实,2：不够真实，能察觉到一些异常,3：非常真实，找不到异常",,,,
Tree shadows shifting slowly on asphalt road,视频光影是否真实合理？,,,,,,"-1：没有明显光影,1：不真实,2：仔细分析能看出异常,3：真实合理",,,,,
